Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,145.690002,146.500000,143.740005,146.289993,139.168365,1385000
2018-12-04,146.100006,147.419998,141.580002,142.130005,135.210907,3066900
2018-12-06,140.910004,141.970001,136.490005,140.850006,133.993195,2121900
2018-12-07,140.289993,141.110001,135.520004,135.860001,129.246124,1829800
2018-12-10,135.610001,136.250000,129.929993,134.119995,127.590790,1987400
2018-12-11,135.419998,136.389999,132.899994,133.889999,127.371986,1169100
2018-12-12,135.440002,137.410004,134.779999,134.960007,128.389938,2356600
2018-12-13,135.479996,137.619995,134.440002,136.320007,129.683701,2377100
2018-12-14,134.369995,134.369995,125.540001,126.730003,120.560570,2450300
2018-12-17,120.000000,124.610001,119.309998,123.120003,117.126305,3510500
2018-12-18,124.360001,127.209999,123.370003,125.309998,119.209694,2391100
2018-12-19,125.389999,125.800003,120.529999,122.250000,116.298660,2103200
2018-12-20,121.849998,122.669998,118.730003,119.849998,114.015495,2185400
2018-12-21,119.849998,123.500000,118.970001,120.080002,114.234306,3192800
2018-12-24,119.709999,120.519997,115.720001,116.129997,110.476570,971100
2018-12-26,116.730003,121.290001,116.180000,121.290001,115.385399,1275000
2018-12-27,119.529999,122.379997,117.040001,122.379997,116.422325,1641600
2018-12-28,123.070000,124.099998,121.610001,122.510002,116.546005,1117300
2018-12-31,123.480003,124.860001,123.099998,124.449997,118.391556,1206400
2019-01-02,122.910004,123.059998,120.089996,121.760002,115.832512,1501300
2019-01-03,120.820000,122.570000,119.120003,119.440002,113.625450,1817300
2019-01-04,121.190002,123.980003,121.190002,123.389999,117.383148,1487100
2019-01-07,123.620003,125.519997,123.489998,124.440002,118.382034,2906500
2019-01-08,126.010002,126.669998,124.320000,126.190002,120.046852,1066600
2019-01-09,127.099998,128.899994,126.839996,128.300003,122.054138,1857100
2019-01-10,127.750000,129.820007,127.089996,129.750000,123.433556,960200
2019-01-11,129.210007,129.690002,128.259995,129.139999,122.853249,1466100
2019-01-14,128.330002,130.470001,127.949997,129.259995,122.967377,992800
2019-01-15,129.619995,132.630005,129.259995,131.490005,125.088837,2168800
2019-01-16,131.740005,133.289993,131.229996,132.309998,125.868896,1318000
2019-01-17,131.809998,134.940002,131.750000,134.059998,127.533752,961800
2019-01-18,135.110001,136.089996,133.740005,134.539993,127.990341,2233600
2019-01-22,133.759995,134.410004,131.500000,132.970001,126.496803,2039800
2019-01-23,133.110001,135.320007,132.470001,133.789993,127.276871,1561200
2019-01-24,133.910004,134.750000,132.660004,132.690002,126.230438,1187300
2019-01-25,133.850006,134.460007,132.600006,132.899994,126.430176,1909800
2019-01-28,132.110001,132.210007,130.080002,131.729996,125.317131,1812900
2019-01-29,135.000000,138.100006,132.009995,138.029999,131.310471,2669700
2019-01-30,138.229996,139.470001,136.899994,139.059998,132.290314,2259000
2019-01-31,138.889999,140.539993,138.559998,139.429993,132.642288,1880100
2019-02-01,139.070007,140.970001,138.389999,139.710007,132.908691,1866700
2019-02-04,138.990005,139.369995,137.619995,138.759995,132.004929,1334100
2019-02-05,139.070007,140.470001,139.009995,139.720001,132.918182,1037300
2019-02-06,139.080002,140.080002,138.039993,140.029999,133.213043,902600
2019-02-07,139.539993,140.960007,138.970001,140.619995,133.774368,1241300
2019-02-08,139.910004,140.429993,138.100006,139.529999,132.737427,996900
2019-02-11,139.339996,139.580002,137.309998,138.660004,131.909790,1015400
2019-02-12,139.139999,140.529999,138.449997,140.220001,133.393860,1076400
2019-02-13,140.449997,141.360001,139.660004,140.889999,134.031235,745700
